,Region,Country,State,City,Month,Day,Year,AvgTemperature,AvgTemp_Celcius,data,mes_ano
175,South/Central America & Carribean,Brazil,,Brasilia,6,25,1995,67.6,19.777777777777775,1995-06-25,1995-06
176,South/Central America & Carribean,Brazil,,Brasilia,6,26,1995,67.6,19.777777777777775,1995-06-26,1995-06
177,South/Central America & Carribean,Brazil,,Brasilia,6,27,1995,69.7,20.944444444444443,1995-06-27,1995-06
178,South/Central America & Carribean,Brazil,,Brasilia,6,28,1995,68.5,20.27777777777778,1995-06-28,1995-06
179,South/Central America & Carribean,Brazil,,Brasilia,6,29,1995,65.6,18.666666666666664,1995-06-29,1995-06
180,South/Central America & Carribean,Brazil,,Brasilia,6,30,1995,64.7,18.166666666666668,1995-06-30,1995-06
181,South/Central America & Carribean,Brazil,,Brasilia,7,1,1995,67.6,19.777777777777775,1995-07-01,1995-07
182,South/Central America & Carribean,Brazil,,Brasilia,7,2,1995,66.2,19.0,1995-07-02,1995-07
183,South/Central America & Carribean,Brazil,,Brasilia,7,3,1995,68.0,20.0,1995-07-03,1995-07
184,South/Central America & Carribean,Brazil,,Brasilia,7,4,1995,67.0,19.444444444444443,1995-07-04,1995-07
185,South/Central America & Carribean,Brazil,,Brasilia,7,5,1995,67.1,19.499999999999996,1995-07-05,1995-07
186,South/Central America & Carribean,Brazil,,Brasilia,7,6,1995,66.7,19.27777777777778,1995-07-06,1995-07
187,South/Central America & Carribean,Brazil,,Brasilia,7,7,1995,67.5,19.72222222222222,1995-07-07,1995-07
188,South/Central America & Carribean,Brazil,,Brasilia,7,8,1995,67.8,19.88888888888889,1995-07-08,1995-07
189,South/Central America & Carribean,Brazil,,Brasilia,7,9,1995,69.2,20.666666666666668,1995-07-09,1995-07
190,South/Central America & Carribean,Brazil,,Brasilia,7,10,1995,68.0,20.0,1995-07-10,1995-07
191,South/Central America & Carribean,Brazil,,Brasilia,7,11,1995,67.7,19.833333333333332,1995-07-11,1995-07
192,South/Central America & Carribean,Brazil,,Brasilia,7,12,1995,67.0,19.444444444444443,1995-07-12,1995-07
193,South/Central America & Carribean,Brazil,,Brasilia,7,13,1995,68.2,20.11111111111111,1995-07-13,1995-07
194,South/Central America & Carribean,Brazil,,Brasilia,7,14,1995,67.5,19.72222222222222,1995-07-14,1995-07
195,South/Central America & Carribean,Brazil,,Brasilia,7,15,1995,68.3,20.166666666666668,1995-07-15,1995-07
196,South/Central America & Carribean,Brazil,,Brasilia,7,16,1995,65.1,18.388888888888886,1995-07-16,1995-07
197,South/Central America & Carribean,Brazil,,Brasilia,7,17,1995,64.3,17.944444444444443,1995-07-17,1995-07
198,South/Central America & Carribean,Brazil,,Brasilia,7,18,1995,63.9,17.72222222222222,1995-07-18,1995-07
199,South/Central America & Carribean,Brazil,,Brasilia,7,19,1995,66.1,18.944444444444443,1995-07-19,1995-07
200,South/Central America & Carribean,Brazil,,Brasilia,7,20,1995,65.6,18.666666666666664,1995-07-20,1995-07
201,South/Central America & Carribean,Brazil,,Brasilia,7,21,1995,67.5,19.72222222222222,1995-07-21,1995-07
202,South/Central America & Carribean,Brazil,,Brasilia,7,22,1995,65.1,18.388888888888886,1995-07-22,1995-07
203,South/Central America & Carribean,Brazil,,Brasilia,7,23,1995,65.4,18.555555555555557,1995-07-23,1995-07
204,South/Central America & Carribean,Brazil,,Brasilia,7,24,1995,67.3,19.61111111111111,1995-07-24,1995-07
205,South/Central America & Carribean,Brazil,,Brasilia,7,25,1995,67.1,19.499999999999996,1995-07-25,1995-07
206,South/Central America & Carribean,Brazil,,Brasilia,7,26,1995,67.7,19.833333333333332,1995-07-26,1995-07
207,South/Central America & Carribean,Brazil,,Brasilia,7,27,1995,67.1,19.499999999999996,1995-07-27,1995-07
208,South/Central America & Carribean,Brazil,,Brasilia,7,28,1995,66.5,19.166666666666668,1995-07-28,1995-07
